1-n,InstanceID,BomberA,BomberB,FighterA,FighterB,Tanker,ISRDrone,Satellite,TotalCost,AcquisitionRiskRaw,AcquisitionRisk,RiskToMissionRaw,RiskToForceRaw,RiskToMission,RiskToForce,TotalRisk,ProbabilityOfSuccess,ForcePackage,RiskToCostRatio
220,SIM_0220,35,29,709,354,17,96,628,353605,1.0,0.26388888888888884,10.0,8.0,0.05555555555555561,0.99,0.31288188695774843,0.69,"35x BomberA, 29x BomberB, 709x FighterA, 354x FighterB, 17x Tanker, 96x ISRDrone, 628x Satellite",0.88483445
221,SIM_0221,21,15,163,1128,16,267,227,246045,1.0,0.611111111111111,10.0,8.0,0.01,0.99,0.5104199921302519,0.49,"21x BomberA, 15x BomberB, 163x FighterA, 1128x FighterB, 16x Tanker, 267x ISRDrone, 227x Satellite",2.07449854
222,SIM_0222,3,38,817,691,30,182,554,374820,1.0,0.2083333333333332,10.0,8.0,0.01,0.99,0.2466720616513108,0.75,"3x BomberA, 38x BomberB, 817x FighterA, 691x FighterB, 30x Tanker, 182x ISRDrone, 554x Satellite",0.65810806
223,SIM_0223,3,36,547,1166,48,81,200,276920,1.0,0.4722222222222224,10.0,8.0,0.05555555555555561,0.99,0.4493032303089249,0.55,"3x BomberA, 36x BomberB, 547x FighterA, 1166x FighterB, 48x Tanker, 81x ISRDrone, 200x Satellite",1.62250192
224,SIM_0224,35,28,4,998,10,153,139,190100,1.0,0.7361111111111112,10.0,8.0,0.01,0.99,0.5922727981409577,0.41,"35x BomberA, 28x BomberB, 4x FighterA, 998x FighterB, 10x Tanker, 153x ISRDrone, 139x Satellite",3.11558547
225,SIM_0225,7,30,860,1193,25,261,584,443790,1.0,0.44444444444444453,10.0,8.0,0.01,0.99,0.4012829174493109,0.6,"7x BomberA, 30x BomberB, 860x FighterA, 1193x FighterB, 25x Tanker, 261x ISRDrone, 584x Satellite",0.90421803
226,SIM_0226,14,38,711,46,3,144,6,130970,1.0,0.7916666666666667,10.0,8.0,0.13888888888888895,0.8775510204081631,0.6394170446868063,0.36,"14x BomberA, 38x BomberB, 711x FighterA, 46x FighterB, 3x Tanker, 144x ISRDrone, 6x Satellite",4.8821642
227,SIM_0227,26,10,679,1060,35,149,785,461740,1.0,0.27777777777777773,10.0,8.0,0.01,0.99,0.2921458427683696,0.71,"26x BomberA, 10x BomberB, 679x FighterA, 1060x FighterB, 35x Tanker, 149x ISRDrone, 785x Satellite",0.63270638
228,SIM_0228,22,23,845,706,11,178,201,273325,1.0,0.40277777777777785,10.0,8.0,0.01,0.99,0.37399864877907557,0.63,"22x BomberA, 23x BomberB, 845x FighterA, 706x FighterB, 11x Tanker, 178x ISRDrone, 201x Satellite",1.36832946
229,SIM_0229,13,20,121,674,49,185,579,297740,1.0,0.3472222222222222,10.0,8.0,0.3055555555555556,0.99,0.5311560363196307,0.47,"13x BomberA, 20x BomberB, 121x FighterA, 674x FighterB, 49x Tanker, 185x ISRDrone, 579x Satellite",1.78395928
230,SIM_0230,4,7,748,949,19,173,710,422175,1.0,0.16666666666666682,10.0,8.0,0.01,0.99,0.2193877929810756,0.78,"4x BomberA, 7x BomberB, 748x FighterA, 949x FighterB, 19x Tanker, 173x ISRDrone, 710x Satellite",0.51966079
231,SIM_0231,8,2,464,166,42,244,287,193250,1.0,0.38888888888888895,10.0,8.0,0.2638888888888889,0.99,0.5311560363196307,0.47,"8x BomberA, 2x BomberB, 464x FighterA, 166x FighterB, 42x Tanker, 244x ISRDrone, 287x Satellite",2.74854353
232,SIM_0232,7,18,145,881,45,179,152,187710,1.0,0.5694444444444443,10.0,8.0,0.15277777777777776,0.99,0.5766298174366894,0.42,"7x BomberA, 18x BomberB, 145x FighterA, 881x FighterB, 45x Tanker, 179x ISRDrone, 152x Satellite",3.07191848
233,SIM_0233,20,38,343,957,47,69,676,383380,1.0,0.44444444444444453,10.0,8.0,0.01,0.99,0.4012829174493109,0.6,"20x BomberA, 38x BomberB, 343x FighterA, 957x FighterB, 47x Tanker, 69x ISRDrone, 676x Satellite",1.04669758
234,SIM_0234,8,9,841,1164,11,228,922,525095,1.0,0.37500000000000006,10.0,8.0,0.01,0.99,0.355809136332252,0.64,"8x BomberA, 9x BomberB, 841x FighterA, 1164x FighterB, 11x Tanker, 228x ISRDrone, 922x Satellite",0.67760907
235,SIM_0235,37,13,343,462,17,249,516,294155,1.0,0.26388888888888884,10.0,8.0,0.20833333333333337,0.99,0.4129242054152777,0.59,"37x BomberA, 13x BomberB, 343x FighterA, 462x FighterB, 17x Tanker, 249x ISRDrone, 516x Satellite",1.40376402
236,SIM_0236,37,12,115,591,56,68,688,321550,1.0,0.3472222222222222,10.0,8.0,0.37499999999999994,0.99,0.5766298174366894,0.42,"37x BomberA, 12x BomberB, 115x FighterA, 591x FighterB, 56x Tanker, 68x ISRDrone, 688x Satellite",1.79328197
237,SIM_0237,15,20,296,906,55,217,173,225200,1.0,0.4722222222222224,10.0,8.0,0.13888888888888895,0.99,0.5038717676493956,0.5,"15x BomberA, 20x BomberB, 296x FighterA, 906x FighterB, 55x Tanker, 217x ISRDrone, 173x Satellite",2.23744124
238,SIM_0238,16,18,218,1088,8,71,360,268140,1.0,0.5694444444444443,10.0,8.0,0.01,0.99,0.48313572346001643,0.52,"16x BomberA, 18x BomberB, 218x FighterA, 1088x FighterB, 8x Tanker, 71x ISRDrone, 360x Satellite",1.801804
239,SIM_0239,15,26,67,721,19,82,899,381240,1.0,0.38888888888888895,10.0,8.0,0.3472222222222223,0.99,0.5857245736601013,0.41,"15x BomberA, 26x BomberB, 67x FighterA, 721x FighterB, 19x Tanker, 82x ISRDrone, 899x Satellite",1.53636705
240,SIM_0240,16,20,952,491,44,291,622,402350,1.0,0.26388888888888884,10.0,8.0,0.01,0.99,0.28305108654495786,0.72,"16x BomberA, 20x BomberB, 952x FighterA, 491x FighterB, 44x Tanker, 291x ISRDrone, 622x Satellite",0.70349469
241,SIM_0241,12,0,691,789,6,1,585,345090,1.0,0.4722222222222224,10.0,8.0,0.19444444444444448,0.99,0.5402507925430424,0.46,"12x BomberA, 691x FighterA, 789x FighterB, 6x Tanker, 1x ISRDrone, 585x Satellite",1.56553593
242,SIM_0242,36,11,1025,122,14,195,726,398095,1.0,0.4722222222222224,10.0,8.0,0.15277777777777776,0.99,0.5129665238728072,0.49,"36x BomberA, 11x BomberB, 1025x FighterA, 122x FighterB, 14x Tanker, 195x ISRDrone, 726x Satellite",1.28855304
243,SIM_0243,4,17,953,339,38,35,758,395925,1.0,0.29166666666666663,10.0,8.0,0.3055555555555556,0.99,0.4947770114259835,0.51,"4x BomberA, 17x BomberB, 953x FighterA, 339x FighterB, 38x Tanker, 35x ISRDrone, 758x Satellite",1.24967358
244,SIM_0244,32,19,67,984,9,10,554,301785,1.0,0.5000000000000001,10.0,8.0,0.08333333333333333,0.99,0.4856822552025718,0.51,"32x BomberA, 19x BomberB, 67x FighterA, 984x FighterB, 9x Tanker, 10x ISRDrone, 554x Satellite",1.60936513
245,SIM_0245,29,33,392,154,25,259,235,192375,1.0,0.23611111111111102,10.0,8.0,0.20833333333333337,0.9863945578231292,0.3923737684957645,0.61,"29x BomberA, 33x BomberB, 392x FighterA, 154x FighterB, 25x Tanker, 259x ISRDrone, 235x Satellite",2.03962973
246,SIM_0246,9,15,1084,276,0,252,134,232635,1.0,0.7222222222222223,10.0,8.0,0.01,0.99,0.583178041917546,0.42,"9x BomberA, 15x BomberB, 1084x FighterA, 276x FighterB, 252x ISRDrone, 134x Satellite",2.50683707
247,SIM_0247,29,32,391,911,55,299,187,262080,1.0,0.40277777777777785,10.0,8.0,0.08333333333333333,0.99,0.42201896163868957,0.58,"29x BomberA, 32x BomberB, 391x FighterA, 911x FighterB, 55x Tanker, 299x ISRDrone, 187x Satellite",1.61026771
248,SIM_0248,14,3,1063,224,13,5,342,264475,1.0,0.611111111111111,10.0,8.0,0.01,0.99,0.5104199921302519,0.49,"14x BomberA, 3x BomberB, 1063x FighterA, 224x FighterB, 13x Tanker, 5x ISRDrone, 342x Satellite",1.92993664
249,SIM_0249,23,31,277,511,28,3,376,229825,1.0,0.1250000000000001,10.0,8.0,0.31944444444444453,0.99,0.39473469296845426,0.61,"23x BomberA, 31x BomberB, 277x FighterA, 511x FighterB, 28x Tanker, 3x ISRDrone, 376x Satellite",1.71754462
250,SIM_0250,7,12,305,956,29,216,232,236010,1.0,0.625,10.0,8.0,0.2361111111111111,0.99,0.6675773796708071,0.33,"7x BomberA, 12x BomberB, 305x FighterA, 956x FighterB, 29x Tanker, 216x ISRDrone, 232x Satellite",2.82859785
251,SIM_0251,20,19,788,328,45,206,777,407125,1.0,0.27777777777777773,10.0,8.0,0.12500000000000003,0.99,0.36745042429821895,0.63,"20x BomberA, 19x BomberB, 788x FighterA, 328x FighterB, 45x Tanker, 206x ISRDrone, 777x Satellite",0.9025494
252,SIM_0252,32,29,1078,612,9,170,691,446155,1.0,0.26388888888888884,10.0,8.0,0.01,0.99,0.28305108654495786,0.72,"32x BomberA, 29x BomberB, 1078x FighterA, 612x FighterB, 9x Tanker, 170x ISRDrone, 691x Satellite",0.63442321
253,SIM_0253,27,4,534,51,59,29,678,302560,1.0,0.5416666666666669,10.0,8.0,0.2361111111111111,0.99,0.6130088423303366,0.39,"27x BomberA, 4x BomberB, 534x FighterA, 51x FighterB, 59x Tanker, 29x ISRDrone, 678x Satellite",2.02607365
254,SIM_0254,34,32,919,1067,24,223,378,388670,1.0,0.23611111111111102,10.0,8.0,0.027777777777777804,0.99,0.27650286206410135,0.72,"34x BomberA, 32x BomberB, 919x FighterA, 1067x FighterB, 24x Tanker, 223x ISRDrone, 378x Satellite",0.71140778
255,SIM_0255,29,37,98,91,16,109,675,269575,1.0,0.8333333333333335,10.0,8.0,0.37499999999999994,0.48299319727891155,0.5629468495022014,0.44,"29x BomberA, 37x BomberB, 98x FighterA, 91x FighterB, 16x Tanker, 109x ISRDrone, 675x Satellite",2.08827543
256,SIM_0256,20,22,596,1059,12,185,564,386880,1.0,0.5416666666666669,10.0,8.0,0.2361111111111111,0.99,0.6130088423303366,0.39,"20x BomberA, 22x BomberB, 596x FighterA, 1059x FighterB, 12x Tanker, 185x ISRDrone, 564x Satellite",1.58449349
257,SIM_0257,31,5,666,1103,0,286,817,480485,1.0,0.41666666666666674,10.0,8.0,0.027777777777777804,0.99,0.3947346929684544,0.61,"31x BomberA, 5x BomberB, 666x FighterA, 1103x FighterB, 286x ISRDrone, 817x Satellite",0.82153385
258,SIM_0258,17,13,511,211,1,150,107,143725,1.0,0.5138888888888891,10.0,8.0,0.3472222222222223,0.99,0.6675773796708072,0.33,"17x BomberA, 13x BomberB, 511x FighterA, 211x FighterB, 1x Tanker, 150x ISRDrone, 107x Satellite",4.64482435
259,SIM_0259,33,15,858,708,30,150,685,423435,1.0,0.24999999999999992,10.0,8.0,0.013888888888888902,0.99,0.27650286206410135,0.72,"33x BomberA, 15x BomberB, 858x FighterA, 708x FighterB, 30x Tanker, 150x ISRDrone, 685x Satellite",0.65299954
260,SIM_0260,16,40,144,339,49,182,498,253580,1.0,0.22222222222222213,10.0,8.0,0.2916666666666667,0.99,0.44020847408551306,0.56,"16x BomberA, 40x BomberB, 144x FighterA, 339x FighterB, 49x Tanker, 182x ISRDrone, 498x Satellite",1.73597474
261,SIM_0261,3,33,849,112,59,279,555,332635,1.0,0.43055555555555564,10.0,8.0,0.041666666666666706,0.99,0.41292420541527786,0.59,"3x BomberA, 33x BomberB, 849x FighterA, 112x FighterB, 59x Tanker, 279x ISRDrone, 555x Satellite",1.24137329
262,SIM_0262,27,9,577,73,9,235,848,372835,1.0,0.4722222222222224,10.0,8.0,0.4166666666666667,0.99,0.6857668921176306,0.31,"27x BomberA, 9x BomberB, 577x FighterA, 73x FighterB, 9x Tanker, 235x ISRDrone, 848x Satellite",1.83933078
263,SIM_0263,11,29,857,1154,40,149,690,465675,1.0,0.37500000000000006,10.0,8.0,0.01,0.99,0.355809136332252,0.64,"11x BomberA, 29x BomberB, 857x FighterA, 1154x FighterB, 40x Tanker, 149x ISRDrone, 690x Satellite",0.7640718
264,SIM_0264,1,23,96,471,52,300,410,229455,1.0,0.22222222222222213,10.0,8.0,0.2361111111111111,0.99,0.403829449191866,0.6,"1x BomberA, 23x BomberB, 96x FighterA, 471x FighterB, 52x Tanker, 300x ISRDrone, 410x Satellite",1.75995053
265,SIM_0265,13,2,434,1178,50,4,526,345140,1.0,0.44444444444444453,10.0,8.0,0.11111111111111113,0.99,0.46749274275574837,0.53,"13x BomberA, 2x BomberB, 434x FighterA, 1178x FighterB, 50x Tanker, 4x ISRDrone, 526x Satellite",1.35450178
266,SIM_0266,16,28,258,1111,32,134,988,478380,1.0,0.43055555555555564,10.0,8.0,0.01,0.99,0.392188161225899,0.61,"16x BomberA, 28x BomberB, 258x FighterA, 1111x FighterB, 32x Tanker, 134x ISRDrone, 988x Satellite",0.81982558
267,SIM_0267,19,37,870,977,11,63,603,418675,1.0,0.27777777777777773,10.0,8.0,0.01,0.99,0.2921458427683696,0.71,"19x BomberA, 37x BomberB, 870x FighterA, 977x FighterB, 11x Tanker, 63x ISRDrone, 603x Satellite",0.69778669
268,SIM_0268,40,8,1003,658,11,130,183,280540,1.0,0.5555555555555555,10.0,8.0,0.01,0.99,0.47404096723660466,0.53,"40x BomberA, 8x BomberB, 1003x FighterA, 658x FighterB, 11x Tanker, 130x ISRDrone, 183x Satellite",1.68974466
269,SIM_0269,10,2,1184,898,28,126,205,316210,1.0,0.4722222222222224,10.0,8.0,0.01,0.99,0.4194724298961343,0.58,"10x BomberA, 2x BomberB, 1184x FighterA, 898x FighterB, 28x Tanker, 126x ISRDrone, 205x Satellite",1.32656282
270,SIM_0270,30,4,836,805,11,122,936,492980,1.0,0.138888888888889,10.0,8.0,0.01,0.99,0.20119828053425218,0.8,"30x BomberA, 4x BomberB, 836x FighterA, 805x FighterB, 11x Tanker, 122x ISRDrone, 936x Satellite",0.40812666
271,SIM_0271,11,17,383,569,9,178,190,191625,1.0,0.40277777777777785,10.0,8.0,0.22222222222222227,0.99,0.5129665238728073,0.49,"11x BomberA, 17x BomberB, 383x FighterA, 569x FighterB, 9x Tanker, 178x ISRDrone, 190x Satellite",2.67692902
272,SIM_0272,2,29,264,861,16,166,616,335275,1.0,0.3472222222222222,10.0,8.0,0.2638888888888889,0.99,0.5038717676493952,0.5,"2x BomberA, 29x BomberB, 264x FighterA, 861x FighterB, 16x Tanker, 166x ISRDrone, 616x Satellite",1.50286114
273,SIM_0273,15,27,63,571,30,17,859,350365,1.0,0.5694444444444443,10.0,8.0,0.25,0.99,0.6402931110005717,0.36,"15x BomberA, 27x BomberB, 63x FighterA, 571x FighterB, 30x Tanker, 17x ISRDrone, 859x Satellite",1.82750306
274,SIM_0274,15,22,32,629,8,67,704,304110,1.0,0.5000000000000001,10.0,8.0,0.20833333333333337,0.99,0.5675350612132777,0.43,"15x BomberA, 22x BomberB, 32x FighterA, 629x FighterB, 8x Tanker, 67x ISRDrone, 704x Satellite",1.86621637
275,SIM_0275,28,15,345,737,19,249,52,179055,1.0,0.48611111111111127,10.0,8.0,0.01,0.99,0.42856718611954603,0.57,"28x BomberA, 15x BomberB, 345x FighterA, 737x FighterB, 19x Tanker, 249x ISRDrone, 52x Satellite",2.39349466
276,SIM_0276,6,24,505,1064,9,233,448,338690,1.0,0.29166666666666663,10.0,8.0,0.01,0.99,0.3012405989917813,0.7,"6x BomberA, 24x BomberB, 505x FighterA, 1064x FighterB, 9x Tanker, 233x ISRDrone, 448x Satellite",0.88942868
277,SIM_0277,10,3,1030,1169,47,299,391,400095,1.0,0.29166666666666663,10.0,8.0,0.01,0.99,0.3012405989917813,0.7,"10x BomberA, 3x BomberB, 1030x FighterA, 1169x FighterB, 47x Tanker, 299x ISRDrone, 391x Satellite",0.75292268
278,SIM_0278,21,1,511,519,13,46,705,343225,1.0,0.15277777777777793,10.0,8.0,0.3611111111111112,0.99,0.44020847408551317,0.56,"21x BomberA, 1x BomberB, 511x FighterA, 519x FighterB, 13x Tanker, 46x ISRDrone, 705x Satellite",1.2825653
279,SIM_0279,22,35,998,253,13,183,3,193495,1.0,0.7777777777777779,10.0,8.0,0.01,0.99,0.619557066811193,0.38,"22x BomberA, 35x BomberB, 998x FighterA, 253x FighterB, 13x Tanker, 183x ISRDrone, 3x Satellite",3.20192804
280,SIM_0280,1,0,1005,544,48,147,763,426320,1.0,0.41666666666666674,10.0,8.0,0.01,0.99,0.3830934050024873,0.62,"1x BomberA, 1005x FighterA, 544x FighterB, 48x Tanker, 147x ISRDrone, 763x Satellite",0.89860528
281,SIM_0281,35,29,240,634,43,149,284,231575,1.0,0.37500000000000006,10.0,8.0,0.15277777777777776,0.99,0.4493032303089248,0.55,"35x BomberA, 29x BomberB, 240x FighterA, 634x FighterB, 43x Tanker, 149x ISRDrone, 284x Satellite",1.94020611
282,SIM_0282,38,18,577,563,48,140,961,464530,1.0,0.3333333333333333,10.0,8.0,0.013888888888888902,0.99,0.33107139940457186,0.67,"38x BomberA, 18x BomberB, 577x FighterA, 563x FighterB, 48x Tanker, 140x ISRDrone, 961x Satellite",0.71270187
283,SIM_0283,12,15,585,996,52,262,945,499965,1.0,0.1250000000000001,10.0,8.0,0.01,0.99,0.1921035243108403,0.81,"12x BomberA, 15x BomberB, 585x FighterA, 996x FighterB, 52x Tanker, 262x ISRDrone, 945x Satellite",0.38423394
284,SIM_0284,3,19,549,507,36,138,452,281755,1.0,0.22222222222222213,10.0,8.0,0.013888888888888902,0.99,0.25831334961727775,0.74,"3x BomberA, 19x BomberB, 549x FighterA, 507x FighterB, 36x Tanker, 138x ISRDrone, 452x Satellite",0.9168013
285,SIM_0285,9,32,1067,764,54,244,715,470770,1.0,0.22222222222222213,10.0,8.0,0.01,0.99,0.25576681787472255,0.74,"9x BomberA, 32x BomberB, 1067x FighterA, 764x FighterB, 54x Tanker, 244x ISRDrone, 715x Satellite",0.54329464
286,SIM_0286,37,12,586,23,59,297,839,387720,1.0,0.41666666666666674,10.0,8.0,0.3333333333333334,0.99,0.5948193298835132,0.41,"37x BomberA, 12x BomberB, 586x FighterA, 23x FighterB, 59x Tanker, 297x ISRDrone, 839x Satellite",1.53414663
287,SIM_0287,7,22,942,846,0,222,288,318320,1.0,0.43055555555555564,10.0,8.0,0.041666666666666706,0.99,0.41292420541527786,0.59,"7x BomberA, 22x BomberB, 942x FighterA, 846x FighterB, 222x ISRDrone, 288x Satellite",1.29719843
288,SIM_0288,37,15,917,1100,52,159,187,327285,1.0,0.48611111111111127,10.0,8.0,0.01,0.99,0.42856718611954603,0.57,"37x BomberA, 15x BomberB, 917x FighterA, 1100x FighterB, 52x Tanker, 159x ISRDrone, 187x Satellite",1.30946174
289,SIM_0289,6,32,266,857,3,175,574,324610,1.0,0.3194444444444444,10.0,8.0,0.2777777777777778,0.99,0.4947770114259837,0.51,"6x BomberA, 32x BomberB, 266x FighterA, 857x FighterB, 3x Tanker, 175x ISRDrone, 574x Satellite",1.52421987
290,SIM_0290,13,7,458,1137,46,194,687,410975,1.0,0.3333333333333333,10.0,8.0,0.01,0.99,0.3285248676620166,0.67,"13x BomberA, 7x BomberB, 458x FighterA, 1137x FighterB, 46x Tanker, 194x ISRDrone, 687x Satellite",0.7993792
291,SIM_0291,28,14,1091,991,56,268,342,388870,1.0,0.3055555555555555,10.0,8.0,0.01,0.99,0.3103353552151932,0.69,"28x BomberA, 14x BomberB, 1091x FighterA, 991x FighterB, 56x Tanker, 268x ISRDrone, 342x Satellite",0.79804396
292,SIM_0292,6,1,37,605,22,157,858,344205,1.0,0.41666666666666674,10.0,8.0,0.05555555555555561,0.99,0.41292420541527786,0.59,"6x BomberA, 1x BomberB, 37x FighterA, 605x FighterB, 22x Tanker, 157x ISRDrone, 858x Satellite",1.19964616
293,SIM_0293,10,33,628,465,24,244,200,229315,1.0,0.3472222222222222,10.0,8.0,0.01,0.99,0.3376196238854285,0.66,"10x BomberA, 33x BomberB, 628x FighterA, 465x FighterB, 24x Tanker, 244x ISRDrone, 200x Satellite",1.47229629
294,SIM_0294,13,10,115,362,44,35,413,196870,1.0,0.40277777777777785,10.0,8.0,0.47222222222222227,0.7414965986394558,0.5139465302576973,0.49,"13x BomberA, 10x BomberB, 115x FighterA, 362x FighterB, 44x Tanker, 35x ISRDrone, 413x Satellite",2.61058836
295,SIM_0295,1,5,1130,161,55,152,586,354005,1.0,0.5138888888888891,10.0,8.0,0.01,0.99,0.4467566985663696,0.55,"1x BomberA, 5x BomberB, 1130x FighterA, 161x FighterB, 55x Tanker, 152x ISRDrone, 586x Satellite",1.26200675
296,SIM_0296,25,33,953,602,35,103,37,230655,1.0,0.3472222222222222,10.0,8.0,0.01,0.99,0.3376196238854285,0.66,"25x BomberA, 33x BomberB, 953x FighterA, 602x FighterB, 35x Tanker, 103x ISRDrone, 37x Satellite",1.46374292
297,SIM_0297,19,6,702,642,16,141,462,315910,1.0,0.19444444444444461,10.0,8.0,0.2916666666666667,0.99,0.42201896163868974,0.58,"19x BomberA, 6x BomberB, 702x FighterA, 642x FighterB, 16x Tanker, 141x ISRDrone, 462x Satellite",1.33588352
298,SIM_0298,0,15,563,793,59,204,106,214765,1.0,0.5972222222222222,10.0,8.0,0.01,0.99,0.5013252359068402,0.5,"15x BomberB, 563x FighterA, 793x FighterB, 59x Tanker, 204x ISRDrone, 106x Satellite",2.33429672
299,SIM_0299,20,33,1197,65,42,36,94,215815,1.0,0.7777777777777779,10.0,8.0,0.01,0.99,0.619557066811193,0.38,"20x BomberA, 33x BomberB, 1197x FighterA, 65x FighterB, 42x Tanker, 36x ISRDrone, 94x Satellite",2.87077852
300,SIM_0300,30,29,546,981,23,174,917,488795,1.0,0.18055555555555572,10.0,8.0,0.01,0.99,0.2284825492044875,0.77,"30x BomberA, 29x BomberB, 546x FighterA, 981x FighterB, 23x Tanker, 174x ISRDrone, 917x Satellite",0.46744044
301,SIM_0301,17,9,803,560,24,49,58,192115,1.0,0.4583333333333334,10.0,8.0,0.01,0.99,0.4103776736727226,0.59,"17x BomberA, 9x BomberB, 803x FighterA, 560x FighterB, 24x Tanker, 49x ISRDrone, 58x Satellite",2.13610428
302,SIM_0302,17,32,1058,424,48,50,661,405350,1.0,0.37500000000000006,10.0,8.0,0.01,0.99,0.355809136332252,0.64,"17x BomberA, 32x BomberB, 1058x FighterA, 424x FighterB, 48x Tanker, 50x ISRDrone, 661x Satellite",0.8777825
303,SIM_0303,27,30,838,803,44,13,182,273650,1.0,0.3194444444444444,10.0,8.0,0.11111111111111113,0.99,0.38563993674504254,0.61,"27x BomberA, 30x BomberB, 838x FighterA, 803x FighterB, 44x Tanker, 13x ISRDrone, 182x Satellite",1.40924516
304,SIM_0304,15,30,661,116,15,218,288,222140,1.0,0.4583333333333334,10.0,8.0,0.09722222222222224,0.99,0.4674927427557485,0.53,"15x BomberA, 30x BomberB, 661x FighterA, 116x FighterB, 15x Tanker, 218x ISRDrone, 288x Satellite",2.10449601
305,SIM_0305,4,15,623,665,24,211,945,457395,1.0,0.3333333333333333,10.0,8.0,0.01,0.99,0.3285248676620166,0.67,"4x BomberA, 15x BomberB, 623x FighterA, 665x FighterB, 24x Tanker, 211x ISRDrone, 945x Satellite",0.71825199
306,SIM_0306,7,38,135,1160,13,83,680,367910,1.0,0.4583333333333334,10.0,8.0,0.05555555555555561,0.99,0.44020847408551317,0.56,"7x BomberA, 38x BomberB, 135x FighterA, 1160x FighterB, 13x Tanker, 83x ISRDrone, 680x Satellite",1.1965113
307,SIM_0307,1,28,886,116,12,91,353,248020,1.0,0.625,10.0,8.0,0.12500000000000003,0.99,0.5948193298835129,0.41,"1x BomberA, 28x BomberB, 886x FighterA, 116x FighterB, 12x Tanker, 91x ISRDrone, 353x Satellite",2.39827163
308,SIM_0308,6,25,940,343,1,203,416,305525,1.0,0.5416666666666669,10.0,8.0,0.09722222222222224,0.99,0.522061280096219,0.48,"6x BomberA, 25x BomberB, 940x FighterA, 343x FighterB, 1x Tanker, 203x ISRDrone, 416x Satellite",1.70873506
309,SIM_0309,17,34,2,1053,24,13,606,318330,1.0,0.6388888888888888,10.0,8.0,0.18055555555555558,0.99,0.6402931110005717,0.36,"17x BomberA, 34x BomberB, 2x FighterA, 1053x FighterB, 24x Tanker, 13x ISRDrone, 606x Satellite",2.01141303
310,SIM_0310,17,16,525,671,43,91,292,250580,1.0,0.36111111111111116,10.0,8.0,0.31944444444444453,0.99,0.5493455487664541,0.45,"17x BomberA, 16x BomberB, 525x FighterA, 671x FighterB, 43x Tanker, 91x ISRDrone, 292x Satellite",2.19229607
311,SIM_0311,18,21,993,972,25,256,735,484275,1.0,0.26388888888888884,10.0,8.0,0.01,0.99,0.28305108654495786,0.72,"18x BomberA, 21x BomberB, 993x FighterA, 972x FighterB, 25x Tanker, 256x ISRDrone, 735x Satellite",0.5844842
312,SIM_0312,2,35,413,736,32,130,952,443945,1.0,0.3472222222222222,10.0,8.0,0.027777777777777804,0.99,0.34926091185139563,0.65,"2x BomberA, 35x BomberB, 413x FighterA, 736x FighterB, 32x Tanker, 130x ISRDrone, 952x Satellite",0.78672113
313,SIM_0313,36,36,596,1085,59,204,786,481700,1.0,0.3055555555555555,10.0,8.0,0.01,0.99,0.3103353552151932,0.69,"36x BomberA, 36x BomberB, 596x FighterA, 1085x FighterB, 59x Tanker, 204x ISRDrone, 786x Satellite",0.64425027
314,SIM_0314,6,25,211,435,4,26,547,251155,1.0,0.38888888888888895,10.0,8.0,0.20833333333333337,0.99,0.4947770114259835,0.51,"6x BomberA, 25x BomberB, 211x FighterA, 435x FighterB, 4x Tanker, 26x ISRDrone, 547x Satellite",1.97000662
315,SIM_0315,10,16,224,436,21,141,102,130650,1.0,0.48611111111111127,10.0,8.0,0.31944444444444453,0.7074829931972788,0.446199876756773,0.55,"10x BomberA, 16x BomberB, 224x FighterA, 436x FighterB, 21x Tanker, 141x ISRDrone, 102x Satellite",3.41523059
316,SIM_0316,15,10,712,1186,52,219,447,380210,1.0,0.36111111111111116,10.0,8.0,0.01,0.99,0.3467143801088402,0.65,"15x BomberA, 10x BomberB, 712x FighterA, 1186x FighterB, 52x Tanker, 219x ISRDrone, 447x Satellite",0.91190232
317,SIM_0317,6,6,143,258,29,288,500,230250,1.0,0.23611111111111102,10.0,8.0,0.6527777777777778,0.8775510204081631,0.6121327760165708,0.39,"6x BomberA, 6x BomberB, 143x FighterA, 258x FighterB, 29x Tanker, 288x ISRDrone, 500x Satellite",2.65855712
318,SIM_0318,26,16,889,1081,2,101,205,307630,1.0,0.37500000000000006,10.0,8.0,0.01,0.99,0.355809136332252,0.64,"26x BomberA, 16x BomberB, 889x FighterA, 1081x FighterB, 2x Tanker, 101x ISRDrone, 205x Satellite",1.15661391
319,SIM_0319,28,9,104,1159,42,290,880,445715,1.0,0.5000000000000001,10.0,8.0,0.06944444444444443,0.99,0.4765874989791601,0.52,"28x BomberA, 9x BomberB, 104x FighterA, 1159x FighterB, 42x Tanker, 290x ISRDrone, 880x Satellite",1.06926511
320,SIM_0320,10,5,221,953,51,133,769,381545,1.0,0.3194444444444444,10.0,8.0,0.01,0.99,0.3194301114386049,0.68,"10x BomberA, 5x BomberB, 221x FighterA, 953x FighterB, 51x Tanker, 133x ISRDrone, 769x Satellite",0.83720167
321,SIM_0321,17,24,1009,752,43,187,599,421300,1.0,0.23611111111111102,10.0,8.0,0.01,0.99,0.26486157409813427,0.74,"17x BomberA, 24x BomberB, 1009x FighterA, 752x FighterB, 43x Tanker, 187x ISRDrone, 599x Satellite",0.62867689
